Name,State,Profits,Revenues,Latitude,Longitude
Walgreens Boots Alliance,Illinois,456.0,139537.0,39.739318,-89.504139
Kroger,Ohio,2585.0,132498.0,40.1903624,-82.6692525
Home Depot,Georgia,12866.0,132110.0,32.6781248,-83.2229757
JPMorgan Chase,New York,29131.0,129503.0,40.7056258,-73.97968
Verizon Communications,New York,17801.0,128292.0,40.7056258,-73.97968
Ford Motor,Michigan,-1279.0,127144.0,44.9435598,-86.4158049
General Motors,Michigan,6427.0,122485.0,44.9435598,-86.4158049
Anthem,Indiana,4572.0,121867.0,39.7662195,-86.441277
Centene,Missouri,1808.0,111115.0,38.3046615,-92.437099
Fannie Mae,District Of Columbia,11805.0,106437.0,38.8993487,-77.0145666
Comcast,Pennsylvania,10534.0,103564.0,40.9945928,-77.6046984
Chevron,California,-5543.0,94692.0,37.2718745,-119.2704153
Dell Technologies,Texas,3250.0,94224.0,31.1693363,-100.0768425
Bank of America,North Carolina,17894.0,93753.0,35.2145629,-79.8912675
Target,Minnesota,4368.0,93561.0,46.4418595,-93.3655146
Lowe's,North Carolina,5835.0,89597.0,35.2145629,-79.8912675
Marathon Petroleum,Ohio,-9826.0,88952.0,40.1903624,-82.6692525
Citigroup,New York,11047.0,88839.0,40.7056258,-73.97968
Meta Platforms,California,29146.0,85965.0,37.2718745,-119.2704153
United Parcel Service,Georgia,1343.0,84628.0,32.6781248,-83.2229757
Johnson & Johnson,New Jersey,14714.0,82584.0,40.1430058,-74.7311156
Wells Fargo,California,3301.0,80303.0,37.2718745,-119.2704153
General Electric,Massachusetts,5704.0,79619.0,42.0629398,-71.718067
State Farm Insurance,Illinois,3738.9,78898.0,39.739318,-89.504139
Intel,California,20899.0,77867.0,37.2718745,-119.2704153
Humana,Kentucky,3367.0,77155.0,37.8222935,-85.7682399
International Business Machines,New York,5590.0,73620.0,40.7056258,-73.97968
U.S. Postal Service,District Of Columbia,-9176.0,73133.0,38.8993487,-77.0145666
Procter & Gamble,Ohio,13027.0,70950.0,40.1903624,-82.6692525
PepsiCo,New York,7120.0,70372.0,40.7056258,-73.97968
Albertsons,Idaho,850.2,69690.4,45.4945756,-114.1424303
FedEx,Tennessee,1286.0,69217.0,35.830521,-85.9785989
MetLife,New York,5407.0,67842.0,40.7056258,-73.97968
Freddie Mac,Virginia,7326.0,66228.0,38.0033855,-79.4587861
Phillips 66,Texas,-3975.0,65494.0,31.1693363,-100.0768425
Lockheed Martin,Maryland,6833.0,65398.0,38.8063524,-77.2684162
Walt Disney,California,-2864.0,65388.0,37.2718745,-119.2704153
Archer Daniels Midland (ADM),Illinois,1772.0,64355.0,39.739318,-89.504139
Valero Energy,Texas,-1421.0,60115.0,31.1693363,-100.0768425
Boeing,Illinois,-11873.0,58158.0,39.739318,-89.504139
Prudential Financial,New Jersey,-374.0,57033.0,40.1430058,-74.7311156
HP,California,2844.0,56639.0,37.2718745,-119.2704153
Raytheon Technologies,Massachusetts,-3519.0,56587.0,42.0629398,-71.718067
StoneX,New York,169.6,54139.6,40.7056258,-73.97968
Goldman Sachs Group,New York,9459.0,53498.0,40.7056258,-73.97968
Sysco,Texas,215.5,52893.3,31.1693363,-100.0768425
Morgan Stanley,New York,10996.0,52047.0,40.7056258,-73.97968
HCA Healthcare,Tennessee,3754.0,51533.0,35.830521,-85.9785989
Cisco Systems,California,11214.0,49301.0,37.2718745,-119.2704153
Charter Communications,Connecticut,3222.0,48097.0,41.5187835,-72.757507
Merck,New Jersey,7067.0,47994.0,40.1430058,-74.7311156
Best Buy,Minnesota,1798.0,47262.0,46.4418595,-93.3655146
New York Life Insurance,New York,-822.3,46712.4,40.7056258,-73.97968
AbbVie,Illinois,4616.0,45804.0,39.739318,-89.504139
Publix Super Markets,Florida,3971.8,45204.0,27.9757279,-83.8330166
Allstate,Illinois,5576.0,44791.0,39.739318,-89.504139
Liberty Mutual Insurance Group,Massachusetts,758.0,43796.0,42.0629398,-71.718067
American International Group,New York,-5944.0,43736.0,40.7056258,-73.97968
Tyson Foods,Arkansas,2061.0,43185.0,34.7519275,-92.1313784
Progressive,Ohio,5704.6,42658.1,40.1903624,-82.6692525
Bristol-Myers Squibb,New York,-9015.0,42518.0,40.7056258,-73.97968
Nationwide,Ohio,-138.4,41929.8,40.1903624,-82.6692525
Pfizer,New York,9616.0,41908.0,40.7056258,-73.97968
Caterpillar,Illinois,2998.0,41748.0,39.739318,-89.504139
TIAA,New York,558.1,41619.3,40.7056258,-73.97968
Bunge,Missouri,1145.0,41404.0,38.3046615,-92.437099
Oracle,Texas,10135.0,39068.0,31.1693363,-100.0768425
Energy Transfer,Texas,-648.0,38954.0,31.1693363,-100.0768425
Dow,Michigan,1225.0,38542.0,44.9435598,-86.4158049
American Express,New York,3135.0,38185.0,40.7056258,-73.97968
General Dynamics,Virginia,3167.0,37925.0,38.0033855,-79.4587861
Nike,Oregon,2539.0,37403.0,44.1419049,-120.5380993
Northrop Grumman,Virginia,3189.0,36799.0,38.0033855,-79.4587861
USAA,Texas,3906.9,36296.2,31.1693363,-100.0768425
Deere,Illinois,2751.0,35540.0,39.739318,-89.504139
Abbott Laboratories,Illinois,4495.0,34608.0,39.739318,-89.504139
Northwestern Mutual,Wisconsin,425.0,33782.1,44.7862968,-89.8267049
Dollar General,Tennessee,2655.1,33746.8,35.830521,-85.9785989
Exelon,Illinois,1963.0,33039.0,39.739318,-89.504139
Coca-Cola,Georgia,7747.0,33014.0,32.6781248,-83.2229757
Honeywell International,North Carolina,4779.0,32637.0,35.2145629,-79.8912675
Thermo Fisher Scientific,Massachusetts,6375.0,32218.0,42.0629398,-71.718067
3M,Minnesota,5384.0,32184.0,46.4418595,-93.3655146
TJX,Massachusetts,90.5,32137.0,42.0629398,-71.718067
Travelers,New York,2697.0,31981.0,40.7056258,-73.97968
Capital One Financial,Virginia,2714.0,31643.0,38.0033855,-79.4587861
Tesla,California,721.0,31536.0,37.2718745,-119.2704153
Philip Morris International,New York,8056.0,28694.0,40.7056258,-73.97968
Arrow Electronics,Colorado,584.4,28673.4,38.9979339,-105.550567
CHS,Minnesota,422.4,28406.4,46.4418595,-93.3655146
Jabil,Florida,53.9,27266.4,27.9757279,-83.8330166
Enterprise Products Partners,Texas,3775.6,27199.7,31.1693363,-100.0768425
Hewlett Packard Enterprise,Texas,-322.0,26982.0,31.1693363,-100.0768425
United Natural Foods,Rhode Island,-274.1,26742.8,41.5827282,-71.5064508
Mondelez International,Illinois,3555.0,26581.0,39.739318,-89.504139
ViacomCBS,New York,2422.0,26186.0,40.7056258,-73.97968
Kraft Heinz,Illinois,356.0,26185.0,39.739318,-89.504139
Dollar Tree,Virginia,1341.9,25509.3,38.0033855,-79.4587861
Amgen,California,7264.0,25424.0,37.2718745,-119.2704153
U.S. Bancorp,Minnesota,4959.0,25241.0,46.4418595,-93.3655146
Performance Food Group,Virginia,-114.1,25086.3,38.0033855,-79.4587861
Netflix,California,2761.4,24996.1,37.2718745,-119.2704153
Gilead Sciences,California,123.0,24689.0,37.2718745,-119.2704153
TD Synnex,California,529.2,24675.6,37.2718745,-119.2704153
Eli Lilly,Indiana,6193.7,24539.8,39.7662195,-86.441277
Truist Financial,North Carolina,4482.0,24427.0,35.2145629,-79.8912675
Rite Aid,Pennsylvania,-90.9,24043.4,40.9945928,-77.6046984
